,weight_2020,citax_2020,Net_accounting_profit_2020,weight_ref_2020,citax_ref_2020,Net_accounting_profit_ref_2020,weight_ref_2021,citax_ref_2021,Net_accounting_profit_ref_2021,weight_ref_2022,citax_ref_2022,Net_accounting_profit_ref_2022,weight_ref_2023,citax_ref_2023,Net_accounting_profit_ref_2023,weight_ref_2024,citax_ref_2024,Net_accounting_profit_ref_2024,weight_ref_2025,citax_ref_2025,Net_accounting_profit_ref_2025,weight_ref_2026,citax_ref_2026,Net_accounting_profit_ref_2026,weight_ref_2027,citax_ref_2027,Net_accounting_profit_ref_2027,ETR,ETR_ref
0,86.0392,372.0000,"-51,465.0000",86.0392,372.0000,"-51,465.0000",86.0392,391.0000,"-54,038.0000",86.0392,411.0000,"-56,740.0000",86.0392,432.0000,"-59,577.0000",86.0392,454.0000,"-62,556.0000",86.0392,477.0000,"-65,684.0000",86.0392,502.0000,"-68,968.0000",86.0392,527.0000,"-72,416.0000",-0.0072,-0.0072
1,86.0392,0.0000,"-13,908.0000",86.0392,0.0000,"-13,908.0000",86.0392,0.0000,"-14,604.0000",86.0392,0.0000,"-15,334.0000",86.0392,2.0000,"-16,101.0000",86.0392,7.0000,"-16,906.0000",86.0392,12.0000,"-17,751.0000",86.0392,17.0000,"-18,639.0000",86.0392,22.0000,"-19,570.0000",-0.0000,-0.0000
2,88.2454,22.0000,"-7,728.0000",88.2454,22.0000,"-7,728.0000",88.2454,25.0000,"-8,115.0000",88.2454,27.0000,"-8,521.0000",88.2454,30.0000,"-8,947.0000",88.2454,32.0000,"-9,394.0000",88.2454,35.0000,"-9,864.0000",88.2454,38.0000,"-10,357.0000",88.2454,41.0000,"-10,875.0000",-0.0028,-0.0028
3,86.0392,0.0000,"-5,307.0000",86.0392,0.0000,"-5,307.0000",86.0392,0.0000,"-5,572.0000",86.0392,0.0000,"-5,851.0000",86.0392,0.0000,"-6,144.0000",86.0392,0.0000,"-6,451.0000",86.0392,0.0000,"-6,773.0000",86.0392,0.0000,"-7,112.0000",86.0392,0.0000,"-7,468.0000",-0.0000,-0.0000
4,88.2454,210.0000,"-4,117.0000",88.2454,210.0000,"-4,117.0000",88.2454,223.0000,"-4,323.0000",88.2454,236.0000,"-4,539.0000",88.2454,250.0000,"-4,766.0000",88.2454,264.0000,"-5,004.0000",88.2454,279.0000,"-5,254.0000",88.2454,296.0000,"-5,517.0000",88.2454,312.0000,"-5,793.0000",-0.0510,-0.0510
5,86.0392,16.0000,"-2,860.0000",86.0392,16.0000,"-2,860.0000",86.0392,19.0000,"-3,003.0000",86.0392,19.0000,"-3,153.0000",86.0392,20.0000,"-3,310.0000",86.0392,21.0000,"-3,476.0000",86.0392,23.0000,"-3,650.0000",86.0392,24.0000,"-3,832.0000",86.0392,25.0000,"-4,024.0000",-0.0056,-0.0056
6,88.2454,14.0000,"-2,254.0000",88.2454,14.0000,"-2,254.0000",88.2454,15.0000,"-2,366.0000",88.2454,16.0000,"-2,485.0000",88.2454,17.0000,"-2,609.0000",88.2454,18.0000,"-2,739.0000",88.2454,19.0000,"-2,876.0000",88.2454,20.0000,"-3,020.0000",88.2454,21.0000,"-3,171.0000",-0.0062,-0.0062
7,86.0392,121.0000,"-1,799.0000",86.0392,121.0000,"-1,799.0000",86.0392,129.0000,"-1,889.0000",86.0392,138.0000,"-1,984.0000",86.0392,147.0000,"-2,083.0000",86.0392,156.0000,"-2,187.0000",86.0392,166.0000,"-2,296.0000",86.0392,176.0000,"-2,411.0000",86.0392,187.0000,"-2,532.0000",-0.0673,-0.0673
8,88.2454,37.0000,"-1,468.0000",88.2454,37.0000,"-1,468.0000",88.2454,41.0000,"-1,542.0000",88.2454,45.0000,"-1,619.0000",88.2454,48.0000,"-1,700.0000",88.2454,53.0000,"-1,785.0000",88.2454,57.0000,"-1,874.0000",88.2454,61.0000,"-1,967.0000",88.2454,66.0000,"-2,066.0000",-0.0252,-0.0252
9,86.0392,53.0000,"-1,069.0000",86.0392,53.0000,"-1,069.0000",86.0392,58.0000,"-1,122.0000",86.0392,64.0000,"-1,178.0000",86.0392,69.0000,"-1,237.0000",86.0392,76.0000,"-1,299.0000",86.0392,82.0000,"-1,364.0000",86.0392,89.0000,"-1,432.0000",86.0392,96.0000,"-1,504.0000",-0.0496,-0.0496
